"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"CASNA LIMITED","7c Bayham Street,
London,
United Kingdom,
NW1 0EY","1130951","81210,
81222",-3.2,0,-85,0,20,23.5,65,35,64,36,90,10,56,44,"http://casnagroup.co.uk","Nicholas Appell (Managing Director)","500 to 999","CASNA LIMITED",FALSE,-0.138282986600727,51.5354992095043,1635224,"NW1 0EY","E00004704","E09000007","E05000142","E01000947","E02000186","E12000007"
"CASTLEBARN LIMITED","184 The Broadway,
Bexleyheath,
Kent,
United Kingdom,
DA6 7BT","1502025","56102",4,0,-8,0,26.8,24.4,48.3,51.7,48.3,51.7,48.3,51.7,55.1,44.9,"http://castlebarnltd.co.uk/","Ratnarajah Jebaharan (Director)","250 to 499","CASTLEBARN LIMITED",FALSE,0.140558124744422,51.457367442002,588198,"DA6 7BT","E00001776","E09000004","E05000069","E01000360","E02000079","E12000007"
"CASUAL DINING SERVICES LIMITED","1st, Floor 163 Eversholt Street,
London,
NW1 1BU","6022528","56101",9.5,0,44.6,-7.4,15.9,12,50,50,62,38,46,54,66,34,"","Stephen Richards (Chief Executive)","5000 to 19,999","CASUAL DINING SERVICES LIMITED",FALSE,-0.136040053308771,51.5318125560097,1635546,"NW1 1BU","E00004757","E09000007","E05000143","E01000954","E02000187","E12000007"
"CATALYST HOUSING LIMITED","Ealing Gateway,
26-30 Uxbridge Road,
London,
United Kingdom,
W5 2AU","IP16561R","",0.5,0.3,-0.9,0,69.7,74.6,64.6,35.4,30.3,69.7,44.1,55.9,54.5,45.5,"http://www.chg.org.uk/","Judith Foss (Executive Director of People and Culture)","500 to 999","CATALYST HOUSING LIMITED",FALSE,-0.310598149315026,51.5127475826744,2451352,"W5 2AU","E00006125","E09000009","E05000173","E01001228","E02000256","E12000007"
"CATCH 22 CHARITY LIMITED","27 Pear Tree Street,
London,
United Kingdom,
EC1V 3AG","6577534","88990",7,13,8,0,4,0,24.5,75.5,27.5,72.5,35.5,64.5,42.5,57.5,"https://www.catch-22.org.uk/news/","Christina Duru (Director of People)","500 to 999","CATCH 22 CHARITY LIMITED",FALSE,-0.097124202599076,51.5256212525118,749060,"EC1V 3AG","E00174777","E09000019","E05000367","E01002703","E02000576","E12000007"
"CATERING UK LIMITED","6th Floor 25 Farringdon Street,
London,
United Kingdom,
EC4A 4AB","3266861","56102",-3.2,-3,0,0,0,0,100,0,45.8,54.2,38.5,61.5,41.7,58.3,"https://thaisq.com/","H E Danous (Director)","250 to 499","CATERING UK LIMITED",FALSE,-0.104341538600758,51.5156842614728,756249,"EC4A 4AB","E00000026","E09000001","E05009305","E01032740","E02000001","E12000007"
"CATH KIDSTON LIMITED","2nd, Floor Frestonia,
125-135 Freston Road,
London,
W10 6TH","2808583","47789",39,24,66,-35,13,11,1,99,4,96,6,94,13,87,"https://cathkidston.btxmedia.com/pws/client/downloads/2018/Cath-Kidston-Gender-Pay-Gap-report.pdf","Kenny Wilson (CEO)","1000 to 4999","CATH KIDSTON LIMITED",FALSE,-0.219206074828387,51.5121696001768,2419282,"W10 6TH","E00014415","E09000020","E05009399","E01002870","E02000581","E12000007"
"CATHAY PACIFIC AIRWAYS LIMITED","4th, Floor Waterfront Building Manbre Road,
London,
Hammersmith Embankment,
W6 9RU","BR001755","",46.7,45.7,0,0,0,0,30.9,69.1,37.9,62.1,50.4,49.6,98.6,1.4,"http://www.cathaypacific.com/dam/cx/legal-and-privacy/united-kingdom/cx-uk-gender-pay-gap-report-2017.pdf","Scott McEwan (People Manager UK/IRE)","500 to 999","CATHAY PACIFIC AIRWAYS LIMITED",FALSE,-0.225195784915703,51.485992895405,2454372,"W6 9RU","E00009452","E09000013","E05000255","E01001891","E02000389","E12000007"
"Catholic Agency For Overseas Development","Romero House,
55 Westminster Bridge Road,
London,
United Kingdom,
SE1 7JB","9387398","88990",8.3,7.6,0,0,0,0,28.6,71.4,19.2,80.8,41,59,51.3,48.7,"https://cafod.org.uk/content/download/44495/517913/version/1/file/CAFOD%20Gender%20Pay%20Report.pdf","Lorraine Walsh (Head of People)","250 to 499","Catholic Agency For Overseas Development",FALSE,-0.107282230642318,51.4982947588705,2008210,"SE1 7JB","E00019805","E09000028","E05000536","E01032584","E02006802","E12000007"
"Catsteps Cafes Ltd","THE BREAKFAST CLUB,
2-4 Rufus Street,
London,
United Kingdom,
N1 6PE","8231148","56101",-2.3,-8.9,0,0,0,0,65.4,34.6,50,50,42.3,57.7,50,50,"https://www.thebreakfastclubcafes.com/","George Whittaker (Finance Director)","250 to 499","Catsteps Cafes Ltd",FALSE,-0.08109419184956,51.52696960235,1444860,"N1 6PE","E00176312","E09000012","E05009377","E01033708","E02000371","E12000007"
